"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"978045";"3";"Memel";"Hull";"Favne";"2";"Lægter";"Skilling";"6";"";"";"";"";"";"";""
"978045";"4";"Memel";"Hull";"Skippund";"54";"Ord. hør";"";"";"";"";"";"";"";"";""
"978045";"5";"Memel";"Hull";"Steen";"6";"Ord. hør";"Daler";"9";"Skilling";"5";"";"";"";"";""
"978045";"6";"Memel";"Hull";"Skippund";"54";"Hamp";"";"";"";"";"";"";"";"";""
"978045";"7";"Memel";"Hull";"Steen";"6";"Hamp";"Daler";"9";"Skilling";"5";"";"";"";"";""
"978046";"1";"London";"Stockholm";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"978059";"1";"Bremen";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"978069";"1";"Rostock";"Bergen";"Læster";"52";"Malt";"";"";"";"";"";"";"";"";""
"978069";"2";"Rostock";"Bergen";"Læster";"4";"Byg";"";"";"";"";"";"";"";"";""
"978069";"3";"Rostock";"Bergen";"Læster";"3";"Rug";"Daler";"26 1/2";"Skilling";"3";"";"";"Læster";"70 4/5";"Rug giør 70 4/5 Læster"
"978069";"4";"Rostock";"Bergen";"Læster";"1/2";"Erter";"Skilling";"6";"";"";"";"";"";"";""
"978070";"1";"Gothenborg";"Ystad";"Tønder";"152";"Steen kull";"";"";"";"";"";"";"";"";""
"978070";"2";"Gothenborg";"Ystad";"Læster";"2";"Sild";"";"";"";"";"";"";"";"";""
"978070";"3";"Gothenborg";"Ystad";"Tønder";"4";"Sild";"Daler";"1";"Skilling";"8";"";"";"";"";""
"978070";"4";"Gothenborg";"Ystad";"Skippund";"5";"Steen jern";"";"";"";"";"";"";"";"";""
"978070";"5";"Gothenborg";"Ystad";"Pund";"10";"Steen jern";"Skilling";"21";"";"";"";"";"";"";""
"978070";"6";"Gothenborg";"Ystad";"Rd.";"12";"Stoele";"Skilling";"6";"";"";"";"";"";"";""
"978073";"1";"Portsmouth";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"978098";"1";"Memel";"Leith";"-";"151";"Bielker";"Daler";"4 1/2";"Skilling";"11";"";"";"";"";""
